,Time,ID,RSSI,PI
1218,1702043576.517729,dd:03:16:54:f4:d0,-77,163
1219,1702043581.535952,dd:03:16:54:f4:d0,-78,163
1220,1702043588.6052785,dd:03:16:54:f4:d0,-80,163
1221,1702043594.610927,dd:03:16:54:f4:d0,-76,163
1222,1702043595.6188974,dd:03:16:54:f4:d0,-77,163
1223,1702043631.846105,dd:03:16:54:f4:d0,-83,133
1224,1702043645.9114954,dd:03:16:54:f4:d0,-80,133
1225,1702043651.9375129,dd:03:16:54:f4:d0,-82,133
1226,1702043696.155312,dd:03:16:54:f4:d0,-75,163
1227,1702043699.1576688,dd:03:16:54:f4:d0,-75,163
1228,1702043705.1769595,dd:03:16:54:f4:d0,-76,163
1229,1702043710.220091,dd:03:16:54:f4:d0,-77,163
1230,1702043715.3334956,dd:03:16:54:f4:d0,-78,163
1231,1702043716.2522447,dd:03:16:54:f4:d0,-78,163
1232,1702043722.265639,dd:03:16:54:f4:d0,-74,163
1233,1702043725.269287,dd:03:16:54:f4:d0,-80,163
1234,1702043726.3393493,dd:03:16:54:f4:d0,-78,163
1235,1702043732.3149805,dd:03:16:54:f4:d0,-75,163
1236,1702043733.3236108,dd:03:16:54:f4:d0,-73,163
1237,1702043734.34053,dd:03:16:54:f4:d0,-72,163
1238,1702043735.3789325,dd:03:16:54:f4:d0,-78,163
1239,1702043736.333675,dd:03:16:54:f4:d0,-73,163
1240,1702043740.3572123,dd:03:16:54:f4:d0,-72,163
1241,1702043743.3745706,dd:03:16:54:f4:d0,-79,163
1242,1702043744.3777542,dd:03:16:54:f4:d0,-79,163
1243,1702043749.403957,dd:03:16:54:f4:d0,-75,163
1244,1702043750.3985045,dd:03:16:54:f4:d0,-81,118
1245,1702043753.4224744,dd:03:16:54:f4:d0,-75,163
1246,1702043754.4194837,dd:03:16:54:f4:d0,-75,163
1247,1702043755.428565,dd:03:16:54:f4:d0,-74,163
1248,1702043762.48791,dd:03:16:54:f4:d0,-74,163
1249,1702043763.5002327,dd:03:16:54:f4:d0,-74,163
1250,1702043769.561273,dd:03:16:54:f4:d0,-78,163
1251,1702043772.6061027,dd:03:16:54:f4:d0,-74,163
1252,1702043774.575694,dd:03:16:54:f4:d0,-74,163
1253,1702043777.5874484,dd:03:16:54:f4:d0,-76,163
1254,1702043784.6089554,dd:03:16:54:f4:d0,-73,163
1255,1702043801.7211533,dd:03:16:54:f4:d0,-82,133
1256,1702043802.7427294,dd:03:16:54:f4:d0,-79,133
1257,1702043823.8536,dd:03:16:54:f4:d0,-83,133
1258,1702043863.045571,dd:03:16:54:f4:d0,-84,133
1259,1702043876.135174,dd:03:16:54:f4:d0,-78,163
1260,1702043878.1607623,dd:03:16:54:f4:d0,-80,133
1261,1702043880.1465926,dd:03:16:54:f4:d0,-79,163
1262,1702043887.1804442,dd:03:16:54:f4:d0,-75,163
1263,1702043888.2129154,dd:03:16:54:f4:d0,-73,163
1264,1702043890.190611,dd:03:16:54:f4:d0,-75,163
1265,1702043897.23172,dd:03:16:54:f4:d0,-73,163
1266,1702043899.2368634,dd:03:16:54:f4:d0,-81,163
1267,1702043902.27649,dd:03:16:54:f4:d0,-73,163
1268,1702043903.2951148,dd:03:16:54:f4:d0,-75,163
1269,1702043907.3033834,dd:03:16:54:f4:d0,-73,163
1270,1702043912.3238811,dd:03:16:54:f4:d0,-74,163
1271,1702043916.35966,dd:03:16:54:f4:d0,-80,163
1272,1702043922.3756862,dd:03:16:54:f4:d0,-79,163
1273,1702043923.379447,dd:03:16:54:f4:d0,-78,163
1274,1702043927.4039714,dd:03:16:54:f4:d0,-80,163
1275,1702043928.420648,dd:03:16:54:f4:d0,-79,163
